date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:52:25	5768/5768	---MCZ	200	added ('OK')	text/css	etag:W/%2266547b0e-1688%22	https://horizon.ancorathemes.com/wp-content/plugins/trx_addons/components/shortcodes/skills/skills.css	D:/New%20folder/https___horizon.ancorathemes.com/horizon.ancorathemes.com/wp-content/plugins/trx_addons/components/shortcodes/skills/skills.css	(from https://horizon.ancorathemes.com/)
03:52:26	4756/4756	---MCZ	200	added ('OK')	text/css	etag:W/%2266547b0e-1294%22	https://horizon.ancorathemes.com/wp-content/plugins/trx_addons/components/widgets/instagram/instagram.css	D:/New%20folder/https___horizon.ancorathemes.com/horizon.ancorathemes.com/wp-content/plugins/trx_addons/components/widgets/instagram/instagram.css	(from https://horizon.ancorathemes.com/)
03:52:26	247108/247108	---M--	200	added ('OK')	image/jpeg	etag:%226658440d-3c544%22	https://horizon.ancorathemes.com/wp-content/uploads/2023/04/insta11-copyright.jpg	D:/New%20folder/https___horizon.ancorathemes.com/horizon.ancorathemes.com/wp-content/uploads/2023/04/insta11-copyright.jpg	(from https://horizon.ancorathemes.com/)
03:52:26	4748/4748	---MCZ	200	added ('OK')	text/css	etag:W/%22667a28d8-128c%22	https://horizon.ancorathemes.com/wp-content/themes/horizon/style.css	D:/New%20folder/https___horizon.ancorathemes.com/horizon.ancorathemes.com/wp-content/themes/horizon/style.css	(from https://horizon.ancorathemes.com/)
03:52:27	11256/11256	---MCZ	200	added ('OK')	text/css	etag:W/%226658440e-2bf8%22	https://horizon.ancorathemes.com/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css?ver=4.2.17	D:/New%20folder/https___horizon.ancorathemes.com/horizon.ancorathemes.com/wp-includes/js/mediaelement/mediaelementplayer-legacy.min1f61.css	(from https://horizon.ancorathemes.com/)
03:52:27	4186/4186	---MCZ	200	added ('OK')	text/css	etag:W/%226658440e-105a%22	https://horizon.ancorathemes.com/wp-includes/js/mediaelement/wp-mediaelement.min.css?ver=6.5.5	D:/New%20folder/https___horizon.ancorathemes.com/horizon.ancorathemes.com/wp-includes/js/mediaelement/wp-mediaelement.minadc6.css	(from https://horizon.ancorathemes.com/)
03:52:28	612850/612850	---MCZ	200	added ('OK')	text/css	etag:W/%22667a28d8-959f2%22	https://horizon.ancorathemes.com/wp-content/themes/horizon/skins/default/css/style.css	D:/New%20folder/https___horizon.ancorathemes.com/horizon.ancorathemes.com/wp-content/themes/horizon/skins/default/css/style.css	(from https://horizon.ancorathemes.com/)
03:52:28	92225/92225	---MCZ	200	added ('OK')	text/css	etag:W/%2266547b0e-16841%22	https://horizon.ancorathemes.com/wp-content/plugins/trx_addons/addons/qw-extension/css/qw_extension_services.css	D:/New%20folder/https___horizon.ancorathemes.com/horizon.ancorathemes.com/wp-content/plugins/trx_addons/addons/qw-extension/css/qw_extension_services.css	(from https://horizon.ancorathemes.com/)
03:52:28	11132/11132	---MCZ	200	added ('OK')	text/css	etag:W/%2266547b0e-2b7c%22	https://horizon.ancorathemes.com/wp-content/plugins/trx_addons/addons/qw-extension/css/qw_extension_icons.css	D:/New%20folder/https___horizon.ancorathemes.com/horizon.ancorathemes.com/wp-content/plugins/trx_addons/addons/qw-extension/css/qw_extension_icons.css	(from https://horizon.ancorathemes.com/)
03:52:29	1340248/1340248	---MCZ	200	added ('OK')	text/css	etag:W/%22667acd62-147358%22	https://horizon.ancorathemes.com/wp-content/themes/horizon/skins/default/css/__plugins.css	D:/New%20folder/https___horizon.ancorathemes.com/horizon.ancorathemes.com/wp-content/themes/horizon/skins/default/css/__plugins.css	(from https://horizon.ancorathemes.com/)
03:52:29	48628/48628	---MCZ	200	added ('OK')	text/css	etag:W/%22667acd62-bdf4%22	https://horizon.ancorathemes.com/wp-content/themes/horizon/skins/default/css/__custom.css	D:/New%20folder/https___horizon.ancorathemes.com/horizon.ancorathemes.com/wp-content/themes/horizon/skins/default/css/__custom.css	(from https://horizon.ancorathemes.com/)
03:52:29	12743/12743	---MCZ	200	added ('OK')	text/css	etag:W/%22666757d7-31c7%22	https://horizon.ancorathemes.com/wp-content/plugins/woocommerce/assets/client/blocks/wc-blocks.css?ver=wc-8.9.3	D:/New%20folder/https___horizon.ancorathemes.com/horizon.ancorathemes.com/wp-content/plugins/woocommerce/assets/client/blocks/wc-blocksb35e.css	(from https://horizon.ancorathemes.com/)
03:52:30	18468/18468	---MCZ	200	added ('OK')	text/css	etag:W/%2266584407-4824%22	https://horizon.ancorathemes.com/wp-content/plugins/elementor/assets/lib/animations/animations.min.css?ver=3.21.8	D:/New%20folder/https___horizon.ancorathemes.com/horizon.ancorathemes.com/wp-content/plugins/elementor/assets/lib/animations/animations.min3cad.css	(from https://horizon.ancorathemes.com/)
03:52:30	155/155	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2025%20Jun%202024%2022:22:30%20GMT	http://horizon.ancorathemes.com/wp-content/plugins/revslider/sr6/assets/css/rs6.css?ver=6.7.12	D:/New%20folder/https___horizon.ancorathemes.com/horizon.ancorathemes.com/wp-content/plugins/revslider/sr6/assets/css/rs6.2fdc12.delayed	(from https://horizon.ancorathemes.com/)
03:52:31	58327/58327	---MCZ	200	added ('OK')	text/css	etag:W/%2266584408-e3d7%22	https://horizon.ancorathemes.com/wp-content/plugins/revslider/sr6/assets/css/rs6.css?ver=6.7.12	D:/New%20folder/https___horizon.ancorathemes.com/horizon.ancorathemes.com/wp-content/plugins/revslider/sr6/assets/css/rs6dc12.css	(from https://horizon.ancorathemes.com/)
03:52:31	41264/41264	---MCZ	200	added ('OK')	text/css	etag:W/%22667a28d8-a130%22	https://horizon.ancorathemes.com/wp-content/themes/horizon/skins/default/plugins/mailchimp-for-wp/mailchimp-for-wp.css	D:/New%20folder/https___horizon.ancorathemes.com/horizon.ancorathemes.com/wp-content/themes/horizon/skins/default/plugins/mailchimp-for-wp/mailchimp-for-wp.css	(from https://horizon.ancorathemes.com/)
03:52:31	378736/378736	---MCZ	200	added ('OK')	text/css	etag:W/%22667a28d8-5c770%22	https://horizon.ancorathemes.com/wp-content/themes/horizon/skins/default/plugins/woocommerce/woocommerce.css	D:/New%20folder/https___horizon.ancorathemes.com/horizon.ancorathemes.com/wp-content/themes/horizon/skins/default/plugins/woocommerce/woocommerce.css	(from https://horizon.ancorathemes.com/)
03:52:32	84636/84636	---MCZ	200	added ('OK')	text/css	etag:W/%22667a28d8-14a9c%22	https://horizon.ancorathemes.com/wp-content/themes/horizon/skins/default/plugins/woocommerce/woocommerce-responsive.css	D:/New%20folder/https___horizon.ancorathemes.com/horizon.ancorathemes.com/wp-content/themes/horizon/skins/default/plugins/woocommerce/woocommerce-responsive.css	(from https://horizon.ancorathemes.com/)
03:52:33	71227/71227	---MCZ	200	added ('OK')	text/css	etag:W/%22667acd62-1163b%22	https://horizon.ancorathemes.com/wp-content/plugins/trx_addons/css/__responsive.css	D:/New%20folder/https___horizon.ancorathemes.com/horizon.ancorathemes.com/wp-content/plugins/trx_addons/css/__responsive.css	(from https://horizon.ancorathemes.com/)
03:52:33	571/571	---MCZ	200	added ('OK')	text/css	etag:W/%2266547b0e-23b%22	https://horizon.ancorathemes.com/wp-content/plugins/trx_addons/addons/mouse-helper/mouse-helper.responsive.css	D:/New%20folder/https___horizon.ancorathemes.com/horizon.ancorathemes.com/wp-content/plugins/trx_addons/addons/mouse-helper/mouse-helper.responsive.css	(from https://horizon.ancorathemes.com/)
03:52:33	7806/7806	---MCZ	200	added ('OK')	text/css	etag:W/%2266547b0e-1e7e%22	https://horizon.ancorathemes.com/wp-content/plugins/trx_addons/addons/qw-extension/css/qw_extension_services.responsive.css	D:/New%20folder/https___horizon.ancorathemes.com/horizon.ancorathemes.com/wp-content/plugins/trx_addons/addons/qw-extension/css/qw_extension_services.responsive.css	(from https://horizon.ancorathemes.com/)
03:52:34	614/614	---MCZ	200	added ('OK')	text/css	etag:W/%2266547b0e-266%22	https://horizon.ancorathemes.com/wp-content/plugins/trx_addons/addons/qw-extension/css/qw_extension_icons.responsive.css	D:/New%20folder/https___horizon.ancorathemes.com/horizon.ancorathemes.com/wp-content/plugins/trx_addons/addons/qw-extension/css/qw_extension_icons.responsive.css	(from https://horizon.ancorathemes.com/)
03:52:34	10129/10129	---MCZ	200	added ('OK')	text/css	etag:W/%2266547b0e-2791%22	https://horizon.ancorathemes.com/wp-content/plugins/trx_addons/components/cpt/services/services.responsive.css	D:/New%20folder/https___horizon.ancorathemes.com/horizon.ancorathemes.com/wp-content/plugins/trx_addons/components/cpt/services/services.responsive.css	(from https://horizon.ancorathemes.com/)
